施設名,調査_年月日,郵便番号,全国地方公共団体コード,都道府県名,市区町村名,町丁目名,電話番号,施設URL,緯度,経度,駐車場の有無,駐車可能台数,車いす専用駐車場の有無,駐車可能台数2,エレベーターの有無,台数（Aタイプ）,定員数（Aタイプ）,奥行(cm)（Aタイプ）,入口幅(cm)（Aタイプ）,音声案内の有無（Aタイプ）,点字表示(エレベーター内)の有無（Aタイプ）,車いす利用者用パネル(ボタン)の有無（Aタイプ）,台数（Bタイプ）,定員数（Bタイプ）,奥行(cm)（Bタイプ）,入口幅(cm)（Bタイプ）,音声案内の有無（Bタイプ）,点字表示(エレベーター内)の有無（Bタイプ）,車いす利用者用パネル(ボタン)の有無（Bタイプ）,台数（Cタイプ）,定員数（Cタイプ）,奥行(cm)（Cタイプ）,入口幅(cm)（Cタイプ）,音声案内の有無（Cタイプ）,点字表示(エレベーター内)の有無（Cタイプ）,車いす利用者用パネル(ボタン)の有無（Cタイプ）,台数（Dタイプ）,定員数（Dタイプ）,奥行(cm)（Dタイプ）,入口幅(cm)（Dタイプ）,音声案内の有無（Dタイプ）,点字表示(エレベーター内)の有無（Dタイプ）,車いす利用者用パネル(ボタン)の有無（Dタイプ）,台数（Eタイプ）,定員数（Eタイプ）,奥行(cm)（Eタイプ）,入口幅(cm)（Eタイプ）,音声案内の有無（Eタイプ）,点字表示(エレベーター内)の有無（Eタイプ）,車いす利用者用パネル(ボタン)の有無（Eタイプ）,入口名称,自動ドアの有無,施設出入口付近スロープの有無,施設出入口の間口有効寸法(cm),施設出入口の段差の有無,段差の高さ(cm),階段の手すりの有無,点字ブロックの有無,敷地内道路の点字ブロックの有無,館内の点字ブロックの有無,点字や浮き出し文字による館内案内マップの有無,車椅子使用者対応トイレの設置有無⇒だれでもトイレの設置有無,施設内合計設置数,設置フロア階層,オストメイト対応トイレの有無,施設内合計設置数3,設置フロア階層4,エスカレーターの有無,車いす対応エスカレーターの有無（階段昇降機の有無）,可動式スロープの有無,補助犬のエサ用ボールの有無,個数,補助犬のマットの有無,枚数,補助犬専用トイレの有無,設置箇所数,筆談対応用備品の有無,個数5,聴覚障害者用　振動時計の有無,個数6,聴覚障害者用　タッチパネルの有無,個数7,フラッシュベル（聴覚障害者用アラートシステム）の貸出の可否,個数8,ベビーチェアの貸出の可否,台数,ベビーベッドの貸出の可否,台数9,ベビーカーの貸出の可否,台数10,車いすの貸出の可否,台数11,シャワーチェアの貸出の可否,台数12,移動式手すりの貸出の可否,個数13,点字や浮き出し文字による館内案内マップの貸出の可否,個数14,施設内おむつ交換台の有無,台数15,字幕対応テレビの有無,個数16,スタッフの手話対応の可否,対応可能日時（曜日や時間帯等）,スタッフの筆談対応の可否,対応可能日時（曜日や時間帯等）17,送迎車の有無,ノンステップ対応車の有無,（乗降車時における車いす使用者への対応）ドアマン・ベルスタッフ対応の可否,（乗降車時における車いす使用者への対応）乗降車用スロープの配備有無,傾斜型自動券売機の有無,ホームドアの有無,授乳室の有無,備考
JR 亀戸駅,2022/12/12,1360071,131083,東京都,江東区,亀戸5丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1F,有,1,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
JR 平井駅,2022/12/12,1320035,131237,東京都,江戸川区,平井3丁目30番1号,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1F,有,1,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
JR 新小岩駅,2022/12/12,1240024,131229,東京都,葛飾区,新小岩1丁目,,https://www.jreast.co.jp/estation/barrier-free/f,35.69153,139.737588,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1F,有,1,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
JR 小岩駅,2022/12/12,1330056,131237,東京都,江戸川区,南小岩7丁目24番16号,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1F,有,1,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
JR 潮見駅,2022/12/12,1350052,131083,東京都,江東区,潮見2丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1F,有,1,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
JR 新宿駅,2022/12/12,1600022,131041,東京都,新宿区,新宿3丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,4,B1F,有,4,B1F,有,有,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
東京メトロ 新宿駅,2021/1/28,1600023,131041,東京都,新宿区,西新宿1-西口地下街1,03-3342-5094,https://www.tokyometro.jp/station/shinjuku/,35.695607,139.775115,無,,無,,有,1,11,,,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,無,無,無,無,有,2,B1F,有,2,B1F,有,無,無,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,,無,,無,,有,常時対応,無,無,無,無,有,有,無,
大江戸線 新宿,2022/1/31,1510053,131130,東京都,渋谷区,代々木二丁目1番1号,03-3299-7210,https://www.kotsu.metro.tokyo.jp/subway/stations/shinjuku.html,35.69193,139.783006,無,,無,,有,2,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,有,有,有,有,有,1,B4F,有,3,B4F,有,無,有,無,,無,,無,,有,,無,,有,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,有,始発～終車まで,無,無,無,無,有,有,無,
京王 新宿駅,2021/1/27,1600023,131041,東京都,新宿区,西新宿1-1-4,03-3342-1783,https://www.keio.co.jp/train/station/index.html,35.688601,139.787725,無,,無,,有,1,11,142,84,有,有,有,1,20,247,110,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,有,有,有,無,無,1,B2F,有,1,B2,有,無,有,無,,無,,無,,有,7,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,有,始発～終電,無,無,無,無,有,有,無,
小田急 新宿駅,2020/2/27,1600023,131041,東京都,新宿区,西新宿1-1-3,03-3342-5988,https://www.odakyu.jp/,35.687982,139.796623,無,,無,,有,2,11,142,85,有,有,無,1,9,160,78,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,有,無,有,有,有,4,"B1F,2F",有,4,"B1F,2F",有,無,有,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,始発～終電,無,無,無,無,有,有,有,"駅改良工事を実施中のため、記載情報と異なる場合がございます。 ホームドアは4,5,8,9番線に設置済み。"
西武鉄道　西武新宿駅,2022/2/4,1600021,131041,東京都,新宿区,歌舞伎町1-30-1,03-3209-4285,,35.688399,139.806057,無,,無,,有,1,15,130,98,有,有,有,1,15,130,98,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,有,無,有,有,無,1,2F,有,1,2F,有,無,無,無,,無,,無,,有,あり,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,あり,無,,無,,有,始発～終電,無,無,無,有,有,有,無,ホームドアは全ホームに設置済。
東京メトロ 銀座駅,2021/1/28,1040061,131024,東京都,中央区,  銀座4-1-2,03-3561-4478,https://www.tokyometro.jp/station/ginza/,35.68904,139.815723,無,,無,,有,5,11,,,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,無,無,無,無,有,2,"B2F,B1F",有,3,"B2F,B1F",有,無,無,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,,無,,無,,有,常時対応,無,無,無,無,有,有,無,
JR 有楽町駅,2022/12/12,1000006,131016,東京都,千代田区,有楽町2丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1F,有,1,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
東京メトロ 有楽町駅,2021/1/28,1000006,131016,東京都,千代田区,有楽町1-11-1,03-3211-5671,https://www.tokyometro.jp/station/yurakucho/,35.689752,139.834705,無,,無,,有,3,11,,,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,無,無,無,無,有,1,B1F,有,1,B1F,有,無,無,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,,無,,無,,有,常時対応,無,無,無,無,有,有,無,
東京メトロ 浅草駅,2021/1/28,1110032,131067,東京都,台東区,浅草1-1-3,03-3841-2052,https://www.tokyometro.jp/station/asakusa/,35.689959,139.847255,無,,無,,有,3,11,,,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,無,無,無,無,有,1,B2F,有,1,B2F,有,有,無,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,,無,,無,,有,常時対応,無,無,無,無,有,有,無,
浅草線　浅草,2022/1/31,1110043,131067,東京都,台東区,駒形一丁目12番14号,03-3844-4689,https://www.kotsu.metro.tokyo.jp/subway/stations/asakusa.html,35.68376,139.863955,無,,無,,有,3,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,有,有,有,有,有,1,B1F,有,1,B1F,有,無,有,無,,無,,無,,有,,無,,有,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,有,始発～終車まで,無,無,無,無,有,無,無,
東武 浅草駅,2020/2/8,1110033,131067,東京都,台東区,花川戸1-4-1,03-3841-0603,https://railway.tobu.co.jp/guide/station/info/1102.html,35.685987,139.882586,無,,無,,有,1,11,198,88,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,有,有,有,有,無,1,2F,有,1,2F,有,無,無,無,,無,,無,,有,3,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,有,営業時間内,無,無,無,無,有,無,無,
JR 渋谷駅,2022/12/12,1500043,131130,東京都,渋谷区,道玄坂1丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,2,"1F,2F",有,2,"1F,2F",有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
東京メトロ 渋谷駅（銀座線）,2021/1/28,1500002,131130,東京都,渋谷区,渋谷2-21-1,03-3400-8481,https://www.tokyometro.jp/station/shibuya/,35.706022,139.903796,無,,無,,有,1,20,,,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,無,無,無,無,有,1,2F,有,1,2F,有,無,無,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,,無,,無,,有,常時対応,無,無,無,無,有,有,無,
京王 渋谷駅,2021/1/27,1500043,131130,東京都,渋谷区,道玄坂1-4-1,03-3462-2658,https://www.keio.co.jp/train/station/index.html,35.688601,139.787725,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,有,有,有,有,無,2,2F,有,2,2F,有,無,有,無,,無,,無,,有,2,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,2,無,,無,,有,始発～終電,無,無,無,無,有,有,無,
JR 秋葉原駅,2022/12/12,1010021,131016,東京都,千代田区,外神田1丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1F,有,1,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
東京メトロ 秋葉原駅,2021/1/28,1010025,131016,東京都,千代田区,神田佐久間町1-21,,https://www.tokyometro.jp/station/akihabara/,35.697957,139.707434,無,,無,,有,3,11,,,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,無,無,無,無,有,1,B1F,有,1,B1F,有,無,無,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,,無,,無,,有,常時対応,無,無,無,無,有,無,無,
つくばエクスプレス 秋葉原駅,2020/2/12,1010025,131016,東京都,千代田区,神田佐久間町1-6-10,03-5298-1300,http://www.mir.co.jp,35.699188,139.718043,無,,無,,有,1,18,200,100,有,有,有,1,30,195,140,,,,1,18,200,100,,,,,,,,,,,,,,,,,,,無,無,,無,,有,有,有,有,有,無,2,B1F,有,2,B1,有,無,無,無,,無,,無,,有,3,無,,無,,無,,無,,無,,無,,有,3,無,,無,,無,,有,4,無,,無,,有,始発～終電,無,無,無,無,有,有,無,
東京メトロ 大手町駅,2021/1/28,1000004,131016,東京都,千代田区,丸ノ内線・千代田線・半蔵門線：大手町1-6-1/東西線：大手町2-1-1,03-3216-5440,https://www.tokyometro.jp/station/otemachi/,35.699501,139.72504,無,,無,,有,8,11,,,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,無,無,無,無,有,7,"B3F,B2F,B1F",有,7,"B3F,B2F,B1F",有,有,無,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,,無,,無,,有,常時対応,無,無,無,無,有,有,有,
三田線 大手町,2022/1/31,1000005,131016,東京都,千代田区,丸の内一丁目3番1号先,03-3211-1962,https://www.kotsu.metro.tokyo.jp/subway/stations/otemachi.html,35.700911,139.735894,無,,無,,有,1,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,有,有,有,有,有,1,B1F,有,1,B1F,有,無,有,無,,無,,無,,有,,無,,有,,無,,無,,無,,無,,無,,無,,無,,無,,有,2,無,,無,,有,始発～終車まで,無,無,無,無,有,有,無,
JR 上野駅,2022/12/12,1100005,131067,東京都,台東区,上野7丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,2,1F,有,2,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,有,
東京メトロ 上野駅,2021/1/28,1100015,131067,東京都,台東区,東上野3-19-6,03-3832-6629,https://www.tokyometro.jp/station/ueno/,35.708493,139.752487,無,,無,,有,7,11,,,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,無,無,無,無,有,2,B1F,有,2,B1F,有,無,無,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,,無,,無,,有,常時対応,無,無,無,無,有,有,有,
東京メトロ 明治神宮前＜原宿＞,2021/1/28,1500001,131130,東京都,渋谷区,千代田線：神宮前1-18-22/副都心線：神宮前6-30-4,03-3402-5008,https://www.tokyometro.jp/station/meiji-jingumae/,35.70751,139.760524,無,,無,,有,2,11,,,有,有,有,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,無,無,無,無,有,4,"B4F,B2F,B1F",有,4,"B4F,B2F,B1F",有,無,無,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,,無,,無,,有,常時対応,無,無,無,無,有,有,無,
東京メトロ 表参道駅,2021/1/28,1070061,131032,東京都,港区,北青山3-6-12,03-3401-2554,https://www.tokyometro.jp/station/omote-sando/,35.707949,139.773351,無,,無,,有,4,11,,,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,無,無,無,無,有,2,"B2F,B1F",有,1,B1F,有,無,無,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,,無,,無,,有,常時対応,無,無,無,無,有,有,無,
東京メトロ 青山一丁目駅,2021/1/28,1070062,131032,東京都,港区, 南青山1-1-19,03-3401-2076,https://www.tokyometro.jp/station/aoyama-itchome/,35.707009,139.782166,無,,無,,有,3,11,,,有,有,有,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,無,無,無,無,有,1,B1F,有,1,B1F,有,無,無,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,,無,,無,,有,常時対応,無,無,無,無,有,有,無,
大江戸線 青山一丁目,2022/1/31,1070061,131032,東京都,港区,北青山1-2-4,03-3478-6763,https://www.kotsu.metro.tokyo.jp/subway/stations/aoyama-itchome.html,35.705587,139.792244,無,,無,,有,5,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,有,有,有,有,有,2,B1F,有,2,B1F,有,有,有,無,,無,,無,,有,,無,,有,,無,,無,,無,,無,,無,,無,,無,,無,,有,3,無,,無,,有,始発～終車まで,無,無,無,無,有,有,無,
東京メトロ 外苑前駅,2021/1/28,1070061,131032,東京都,港区, 北青山 2-7-16,03-3401-0966,https://www.tokyometro.jp/station/gaiemmae/,35.696807,139.797469,無,,無,,有,5,11,,,有,有,有,1,20,,1,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,無,無,無,無,有,1,B1F,有,1,B1F,有,有,無,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,有,常時対応,無,無,無,無,有,有,無,
東京臨海高速鉄道 東京テレポート駅,2022/2/3,1350064,131083,東京都,江東区,青海1-2-1,03-3527-6760,https://www.twr.co.jp/route/tabid/112/Default.aspx,35.687926,139.798251,無,,無,,有,1,20,220,90,有,有,有,1,11,150,90,,,,2,18,200,90,,,,,,,,,,,,,,,,,,,無,無,,無,,有,有,無,有,有,有,2,B1F,有,2,B1F,有,無,無,無,,無,,無,,有,1,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,4,無,,無,,有,終日,無,無,無,無,有,有,無,
東京臨海高速鉄道 国際展示場駅,2022/2/3,1350063,131083,東京都,江東区,有明3-7-3,03-3527-6760,https://www.twr.co.jp/route/tabid/110/Default.aspx,35.682355,139.798758,無,,無,,有,1,20,90,220,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,有,無,有,有,有,2,1F,有,2,1F,有,無,無,無,,無,,無,,有,1,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,6,無,,無,,有,終日,無,無,無,無,有,有,無,
JR 新木場駅,2022/12/12,1360082,131083,東京都,江東区,新木場1丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,3F,有,1,3F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
東京メトロ 新木場駅,2021/1/28,1360082,131083,東京都,江東区,新木場1-6先,03-3521-4971,https://www.tokyometro.jp/station/shin-kiba/,35.663757,139.783912,無,,無,,有,2,11,,,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,無,無,無,無,有,1,3F,有,1,3F,有,無,無,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,,無,,無,,有,常時対応,無,無,無,無,有,有,無,
東京臨海高速鉄道 新木場駅,2022/2/3,1360082,131083,東京都,江東区,新木場1-6,03-3527-6760,https://www.twr.co.jp/route/tabid/106/Default.aspx,35.658934,139.777138,無,,無,,有,1,11,190,90,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,有,無,有,有,有,2,3F,有,2,3F,有,無,無,無,,無,,無,,有,1,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,2,無,,無,,有,終日,無,無,無,無,有,無,無,
東京メトロ 辰巳駅,2021/1/28,1350053,131083,東京都,江東区,辰巳1-1-44,03-3521-4976,https://www.tokyometro.jp/station/tatsumi/,35.664919,139.766929,無,,無,,有,2,11,,,有,有,有,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,無,無,無,無,有,1,B2F,有,1,B1F,有,無,無,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,,無,,無,,有,常時対応,無,無,無,無,有,有,有,
東京メトロ 赤坂駅,2021/1/28,1070052,131032,東京都,港区,赤坂5-4-5,03-3586-3141,https://www.tokyometro.jp/station/akasaka/,35.663193,139.760225,無,,無,,有,1,11,,,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,無,無,無,無,有,2,B1F,有,2,B1F,有,無,無,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,2,無,,無,,有,常時対応,無,無,無,無,有,有,無,
東京メトロ 六本木駅,2021/1/28,1060032,131032,東京都,港区,六本木6-1-25,,https://www.tokyometro.jp/station/roppongi/,35.656671,139.755696,無,,無,,有,2,11,,,有,有,有,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,無,無,無,無,有,2,B2F,有,2,B2F,有,有,無,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,,無,,無,,有,常時対応,無,無,無,無,有,無,無,
大江戸線 六本木,2022/1/31,1070052,131032,東京都,港区,赤坂九丁目7番39号,03-3470-3318,https://www.kotsu.metro.tokyo.jp/subway/stations/roppongi.html,35.654985,139.743989,無,,無,,有,3,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,有,有,有,有,有,2,B1F,有,2,B1F,有,無,有,無,,無,,無,,有,,無,,有,,無,,無,,無,,無,,無,,無,,無,,無,,有,3,無,,無,,有,始発～終車まで,無,無,無,無,有,有,無,
東京メトロ 赤坂見附駅,2021/1/28,1070052,131032,東京都,港区,赤坂3-1-6,03-3583-2739,https://www.tokyometro.jp/station/akasaka-mitsuke/,35.656448,139.73633,無,,無,,有,3,11,,,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,無,無,無,無,有,2,"B3F,B1F",有,2,"B3F,B1F",有,無,無,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,,無,,無,,有,常時対応,無,無,無,無,有,有,無,
東京メトロ 六本木一丁目駅,2021/1/28,1060032,131032,東京都,港区,六本木1-4-1,03-3589-0309,https://www.tokyometro.jp/station/roppongi-itchome/,35.664106,139.731354,無,,無,,有,3,11,,,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,無,無,無,無,有,1,B2F,有,1,B2F,有,無,無,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,,無,,無,,有,常時対応,無,無,無,無,有,有,無,
JR 池袋駅,2022/12/12,1710022,131164,東京都,豊島区,南池袋1丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,B1F,有,1,B1F,有,有,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,無,
東京メトロ 池袋駅,2021/1/28,1710021,131164,東京都,豊島区,副都心線：西池袋3-28-14/丸ノ内線：南池袋1-28-1/有楽町線：西池袋1-12-1,03-3986-9681,https://www.tokyometro.jp/station/ikebukuro/,35.679896,139.714667,無,,無,,有,7,11,,,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,無,無,無,無,有,3,"B2F,B1F",有,3,"B2F,B1F",有,無,無,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,,無,,無,,有,常時対応,無,無,無,無,有,有,無,
西武鉄道　池袋駅,2022/2/4,1710022,131164,東京都,豊島区,南池袋1-28-1,03-3984-1883,https://www.seiburailway.jp/,35.683505,139.701603,無,,無,,有,1,13,150,90,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,有,有,有,無,有,1,B1F,有,1,B1F,有,無,無,無,,無,,無,,有,あり,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,あり,無,なし,無,,有,始発～終電,無,無,無,有,有,有,有,ホームドアは２～６番ホーム。
東武 池袋駅,2020/2/7,1710021,131164,東京都,豊島区,西池袋1-1-21,03-3984-0501,https://railway.tobu.co.jp/guide/station/info/7105.html,35.688462,139.699019,無,,無,,有,2,11,210,87,有,有,有,1,7,149,89,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,有,有,有,無,無,1,1F,有,3,1F,有,無,無,無,,無,,無,,有,4,無,,有,4,無,,無,,無,,無,,有,4,無,,無,,無,,無,,無,,無,,有,平日4:50～0:45、土日祝4:50～0:35,無,無,無,無,有,有,無,ホームドア：1～4番線あり
東京メトロ 築地駅,2021/1/28,1040045,131024,東京都,中央区,築地3-15-1,,https://www.tokyometro.jp/station/tsukiji/,35.690607,139.692677,無,,無,,有,2,11,,,有,有,有,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,無,無,無,無,有,1,B1F,有,1,B1F,無,無,無,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,有,常時対応,無,無,無,無,有,無,無,
JR 品川駅,2022/12/12,1080074,131032,東京都,港区,高輪3丁目,,https://www.jreast.co.jp/estation/barrier-free/,35.69132917,139.6995728,無,,無,,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,2F,有,1,2F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,有,無,,無,,無,,無,無,無,無,無,無,有,
